,ticker,company,sector,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_earnings_to_growth_ratio,dividend_yield,enterprise_value_multiple
344,NBL,Noble Energy Inc,Energy,1.1537931034482758,2.186435331230284,-6.417592592592593,46.47892817059484,0.023393861945297523,19.83530751708428
345,JWN,Nordstrom,Consumer Discretionary,5.456572012257405,0.3441113115176501,10.770129032258064,2.9636950812171126,0.04286796815565153,3.9195754923413566
346,NSC,Norfolk Southern Corp.,Industrials,3.7195633561643837,4.99980966713881,20.74865907421014,2.0491830210950974,0.016803047566435338,13.278831903276131
347,NTRS,Northern Trust Corp.,Financials,2.1016711280559175,214.8345400286965,14.189791001638396,2.640890939127265,0.01835635818155778,7.817672944269847
348,NOC,Northrop Grumman,Industrials,7.3884217031409465,1.9254304246328418,28.985093861209965,1.519720158161303,0.013505530691310823,15.398534389412472
349,NLOK,NortonLifeLock,Information Technology,7.853,3.1062,459.8,0,,6.0803382663848
350,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,1.7532637203155699,1.767697868020988,12.280353072096304,3.4735008045269966,,9.846894621048127
351,NRG,NRG Energy,Utilities,-9.809789303079416,1.2771977210381937,45.1689552238806,-6.377780951258571,0.0030565174865843665,11.556801023672424
352,NUE,Nucor Corp.,Materials,1.4389309921561064,0.6598055731724021,11.725080813094987,1.5150239948400224,0.03301486855994621,7.027009128248314
353,NVDA,Nvidia Corporation,Information Technology,8.698265895953758,6.935745988391942,19.62308621106013,3.9156010555709084,0.004565636875578396,20.28165272995573
354,NVR,NVR Inc,Consumer Discretionary,6.168931200677931,1.9547475917161752,16.439763243293697,0.07508454995293805,,14.904246877296107
355,ORLY,O'Reilly Automotive,Consumer Discretionary,81.35214627271354,3.184680745833614,23.237588656561055,1.3506706843671195,,16.620524368520034
356,OXY,Occidental Petroleum,Energy,0.9598505784061697,1.6112197812975042,-33.357974619289344,-6.5367418190062265,0.07985974632052457,12.30239255529581
357,ODFL,Old Dominion Freight Line,Industrials,3.5370609901201573,2.6518348913670136,17.703274189057023,2.3464185094399888,0.005006293693474916,9.82678167704383
358,OMC,Omnicom Group,Communication Services,5.852553348050036,1.1169544661187532,12.473005750130683,2.0669229974960226,0.03378515515127523,7.495169730654125
